series_id,series_name,description,year,period,period_name,date,value,created_at
CES5500000001,employment_totals,Financial activities,2019,M01,January,2019-01-01,8672,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M02,February,2019-02-01,8684,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M03,March,2019-03-01,8704,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M04,April,2019-04-01,8724,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M05,May,2019-05-01,8738,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M06,June,2019-06-01,8749,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M07,July,2019-07-01,8771,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M08,August,2019-08-01,8786,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M09,September,2019-09-01,8785,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M10,October,2019-10-01,8797,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M11,November,2019-11-01,8814,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2019,M12,December,2019-12-01,8821,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M01,January,2020-01-01,8837,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M02,February,2020-02-01,8870,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M03,March,2020-03-01,8851,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M04,April,2020-04-01,8590,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M05,May,2020-05-01,8607,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M06,June,2020-06-01,8623,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M07,July,2020-07-01,8623,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M08,August,2020-08-01,8647,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M09,September,2020-09-01,8675,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M10,October,2020-10-01,8696,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M11,November,2020-11-01,8709,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2020,M12,December,2020-12-01,8721,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M01,January,2021-01-01,8732,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M02,February,2021-02-01,8724,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M03,March,2021-03-01,8733,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M04,April,2021-04-01,8747,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M05,May,2021-05-01,8747,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M06,June,2021-06-01,8745,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M07,July,2021-07-01,8772,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M08,August,2021-08-01,8781,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M09,September,2021-09-01,8794,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M10,October,2021-10-01,8817,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M11,November,2021-11-01,8849,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2021,M12,December,2021-12-01,8863,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M01,January,2022-01-01,8865,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M02,February,2022-02-01,8894,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M03,March,2022-03-01,8905,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M04,April,2022-04-01,8936,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M05,May,2022-05-01,8946,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M06,June,2022-06-01,8952,2022-08-09T14:40:47Z
CES5500000001,employment_totals,Financial activities,2022,M07,July,2022-07-01,8965,2022-08-09T14:40:47Z
