series_id,series_name,description,year,period,period_name,date,value,created_at
CES4142000001,employment_totals,Wholesale trade,2019,M01,January,2019-01-01,5877.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M02,February,2019-02-01,5886.4,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M03,March,2019-03-01,5882.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M04,April,2019-04-01,5888.5,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M05,May,2019-05-01,5889.5,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M06,June,2019-06-01,5883.4,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M07,July,2019-07-01,5889.9,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M08,August,2019-08-01,5886.8,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M09,September,2019-09-01,5888.5,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M10,October,2019-10-01,5895.5,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M11,November,2019-11-01,5892.1,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2019,M12,December,2019-12-01,5896.2,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M01,January,2020-01-01,5897.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M02,February,2020-02-01,5892.8,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M03,March,2020-03-01,5875.4,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M04,April,2020-04-01,5488.2,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M05,May,2020-05-01,5502.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M06,June,2020-06-01,5545.3,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M07,July,2020-07-01,5528.1,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M08,August,2020-08-01,5540.3,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M09,September,2020-09-01,5565.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M10,October,2020-10-01,5574.6,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M11,November,2020-11-01,5584.3,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2020,M12,December,2020-12-01,5598.2,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M01,January,2021-01-01,5611.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M02,February,2021-02-01,5622.4,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M03,March,2021-03-01,5635.5,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M04,April,2021-04-01,5647.1,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M05,May,2021-05-01,5655.6,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M06,June,2021-06-01,5675.6,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M07,July,2021-07-01,5693.8,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M08,August,2021-08-01,5699.2,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M09,September,2021-09-01,5703.9,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M10,October,2021-10-01,5716.3,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M11,November,2021-11-01,5731.2,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2021,M12,December,2021-12-01,5749.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M01,January,2022-01-01,5762.3,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M02,February,2022-02-01,5788.8,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M03,March,2022-03-01,5814.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M04,April,2022-04-01,5842.9,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M05,May,2022-05-01,5856.0,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M06,June,2022-06-01,5861.7,2022-08-09T14:40:49Z
CES4142000001,employment_totals,Wholesale trade,2022,M07,July,2022-07-01,5872.2,2022-08-09T14:40:49Z
