series_id,series_name,description,year,period,period_name,date,value,created_at
CES9000000001,employment_totals,Government,2019,M01,January,2019-01-01,22519,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M02,February,2019-02-01,22529,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M03,March,2019-03-01,22561,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M04,April,2019-04-01,22599,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M05,May,2019-05-01,22596,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M06,June,2019-06-01,22597,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M07,July,2019-07-01,22557,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M08,August,2019-08-01,22599,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M09,September,2019-09-01,22655,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M10,October,2019-10-01,22680,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M11,November,2019-11-01,22714,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2019,M12,December,2019-12-01,22731,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M01,January,2020-01-01,22784,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M02,February,2020-02-01,22879,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M03,March,2020-03-01,22825,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M04,April,2020-04-01,21904,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M05,May,2020-05-01,21421,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M06,June,2020-06-01,21416,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M07,July,2020-07-01,21511,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M08,August,2020-08-01,21963,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M09,September,2020-09-01,21923,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M10,October,2020-10-01,21771,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M11,November,2020-11-01,21698,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2020,M12,December,2020-12-01,21691,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M01,January,2021-01-01,21788,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M02,February,2021-02-01,21805,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M03,March,2021-03-01,21859,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M04,April,2021-04-01,21910,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M05,May,2021-05-01,21976,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M06,June,2021-06-01,22025,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M07,July,2021-07-01,22076,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M08,August,2021-08-01,22096,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M09,September,2021-09-01,22111,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M10,October,2021-10-01,22094,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M11,November,2021-11-01,22114,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2021,M12,December,2021-12-01,22141,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M01,January,2022-01-01,22153,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M02,February,2022-02-01,22163,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M03,March,2022-03-01,22176,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M04,April,2022-04-01,22176,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M05,May,2022-05-01,22231,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M06,June,2022-06-01,22225,2022-08-09T14:40:47Z
CES9000000001,employment_totals,Government,2022,M07,July,2022-07-01,22282,2022-08-09T14:40:47Z
