series_id,series_name,description,year,period,period_name,date,value,created_at
CES3000000001,employment_totals,Manufacturing,2019,M01,January,2019-01-01,12822,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M02,February,2019-02-01,12821,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M03,March,2019-03-01,12819,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M04,April,2019-04-01,12824,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M05,May,2019-05-01,12821,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M06,June,2019-06-01,12829,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M07,July,2019-07-01,12832,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M08,August,2019-08-01,12827,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M09,September,2019-09-01,12820,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M10,October,2019-10-01,12764,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M11,November,2019-11-01,12812,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2019,M12,December,2019-12-01,12795,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M01,January,2020-01-01,12784,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M02,February,2020-02-01,12785,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M03,March,2020-03-01,12717,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M04,April,2020-04-01,11423,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M05,May,2020-05-01,11656,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M06,June,2020-06-01,11990,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M07,July,2020-07-01,12025,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M08,August,2020-08-01,12050,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M09,September,2020-09-01,12095,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M10,October,2020-10-01,12122,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M11,November,2020-11-01,12157,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2020,M12,December,2020-12-01,12190,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M01,January,2021-01-01,12184,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M02,February,2021-02-01,12222,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M03,March,2021-03-01,12268,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M04,April,2021-04-01,12240,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M05,May,2021-05-01,12268,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M06,June,2021-06-01,12288,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M07,July,2021-07-01,12350,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M08,August,2021-08-01,12391,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M09,September,2021-09-01,12413,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M10,October,2021-10-01,12466,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M11,November,2021-11-01,12514,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2021,M12,December,2021-12-01,12555,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M01,January,2022-01-01,12581,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M02,February,2022-02-01,12631,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M03,March,2022-03-01,12689,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M04,April,2022-04-01,12750,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M05,May,2022-05-01,12769,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M06,June,2022-06-01,12796,2022-08-09T14:40:48Z
CES3000000001,employment_totals,Manufacturing,2022,M07,July,2022-07-01,12826,2022-08-09T14:40:48Z
