series_id,series_name,description,year,period,period_name,date,value,created_at
CES6000000001,employment_totals,Professional/business services,2019,M01,January,2019-01-01,21098,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M02,February,2019-02-01,21140,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M03,March,2019-03-01,21168,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M04,April,2019-04-01,21215,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M05,May,2019-05-01,21247,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M06,June,2019-06-01,21294,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M07,July,2019-07-01,21318,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M08,August,2019-08-01,21337,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M09,September,2019-09-01,21350,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M10,October,2019-10-01,21360,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M11,November,2019-11-01,21393,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2019,M12,December,2019-12-01,21396,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M01,January,2020-01-01,21371,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M02,February,2020-02-01,21393,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M03,March,2020-03-01,21308,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M04,April,2020-04-01,19091,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M05,May,2020-05-01,19294,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M06,June,2020-06-01,19651,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M07,July,2020-07-01,19836,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M08,August,2020-08-01,20026,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M09,September,2020-09-01,20154,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M10,October,2020-10-01,20374,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M11,November,2020-11-01,20525,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2020,M12,December,2020-12-01,20689,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M01,January,2021-01-01,20800,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M02,February,2021-02-01,20902,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M03,March,2021-03-01,21021,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M04,April,2021-04-01,20943,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M05,May,2021-05-01,21023,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M06,June,2021-06-01,21084,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M07,July,2021-07-01,21226,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M08,August,2021-08-01,21309,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M09,September,2021-09-01,21383,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M10,October,2021-10-01,21619,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M11,November,2021-11-01,21730,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2021,M12,December,2021-12-01,21821,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M01,January,2022-01-01,21909,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M02,February,2022-02-01,21996,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M03,March,2022-03-01,22090,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M04,April,2022-04-01,22130,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M05,May,2022-05-01,22199,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M06,June,2022-06-01,22290,2022-08-09T14:40:48Z
CES6000000001,employment_totals,Professional/business services,2022,M07,July,2022-07-01,22379,2022-08-09T14:40:48Z
