series_id,series_name,description,year,period,period_name,date,value,created_at
CES1000000001,employment_totals,Mining/logging,2019,M01,January,2019-01-01,743,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M02,February,2019-02-01,739,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M03,March,2019-03-01,737,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M04,April,2019-04-01,738,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M05,May,2019-05-01,738,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M06,June,2019-06-01,735,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M07,July,2019-07-01,730,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M08,August,2019-08-01,723,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M09,September,2019-09-01,720,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M10,October,2019-10-01,721,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M11,November,2019-11-01,707,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2019,M12,December,2019-12-01,693,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M01,January,2020-01-01,684,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M02,February,2020-02-01,686,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M03,March,2020-03-01,673,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M04,April,2020-04-01,615,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M05,May,2020-05-01,595,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M06,June,2020-06-01,581,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M07,July,2020-07-01,570,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M08,August,2020-08-01,563,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M09,September,2020-09-01,561,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M10,October,2020-10-01,556,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M11,November,2020-11-01,554,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2020,M12,December,2020-12-01,554,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M01,January,2021-01-01,546,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M02,February,2021-02-01,542,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M03,March,2021-03-01,551,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M04,April,2021-04-01,554,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M05,May,2021-05-01,560,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M06,June,2021-06-01,566,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M07,July,2021-07-01,569,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M08,August,2021-08-01,574,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M09,September,2021-09-01,576,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M10,October,2021-10-01,578,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M11,November,2021-11-01,582,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2021,M12,December,2021-12-01,590,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M01,January,2022-01-01,590,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M02,February,2022-02-01,600,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M03,March,2022-03-01,605,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M04,April,2022-04-01,613,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M05,May,2022-05-01,620,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M06,June,2022-06-01,628,2022-08-09T14:40:48Z
CES1000000001,employment_totals,Mining/logging,2022,M07,July,2022-07-01,635,2022-08-09T14:40:48Z
