series_id,series_name,description,year,period,period_name,date,value,created_at
CES4300000001,employment_totals,Transportation and warehousing,2019,M01,January,2019-01-01,5584.4,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M02,February,2019-02-01,5571.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M03,March,2019-03-01,5577.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M04,April,2019-04-01,5619.6,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M05,May,2019-05-01,5648.0,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M06,June,2019-06-01,5686.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M07,July,2019-07-01,5701.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M08,August,2019-08-01,5703.0,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M09,September,2019-09-01,5718.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M10,October,2019-10-01,5720.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M11,November,2019-11-01,5734.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2019,M12,December,2019-12-01,5747.2,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M01,January,2020-01-01,5802.9,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M02,February,2020-02-01,5794.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M03,March,2020-03-01,5786.9,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M04,April,2020-04-01,5289.2,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M05,May,2020-05-01,5318.4,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M06,June,2020-06-01,5448.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M07,July,2020-07-01,5510.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M08,August,2020-08-01,5598.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M09,September,2020-09-01,5666.4,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M10,October,2020-10-01,5745.5,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M11,November,2020-11-01,5827.2,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2020,M12,December,2020-12-01,5848.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M01,January,2021-01-01,5881.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M02,February,2021-02-01,5945.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M03,March,2021-03-01,5995.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M04,April,2021-04-01,5997.8,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M05,May,2021-05-01,6026.6,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M06,June,2021-06-01,6061.5,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M07,July,2021-07-01,6101.4,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M08,August,2021-08-01,6133.3,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M09,September,2021-09-01,6169.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M10,October,2021-10-01,6220.2,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M11,November,2021-11-01,6257.4,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2021,M12,December,2021-12-01,6279.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M01,January,2022-01-01,6333.1,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M02,February,2022-02-01,6406.9,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M03,March,2022-03-01,6410.6,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M04,April,2022-04-01,6459.6,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M05,May,2022-05-01,6497.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M06,June,2022-06-01,6518.7,2022-08-09T14:40:48Z
CES4300000001,employment_totals,Transportation and warehousing,2022,M07,July,2022-07-01,6539.6,2022-08-09T14:40:48Z
