series_id,series_name,description,year,period,period_name,date,value,created_at
CES5000000001,employment_totals,Information,2019,M01,January,2019-01-01,2843,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M02,February,2019-02-01,2836,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M03,March,2019-03-01,2848,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M04,April,2019-04-01,2846,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M05,May,2019-05-01,2853,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M06,June,2019-06-01,2873,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M07,July,2019-07-01,2868,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M08,August,2019-08-01,2868,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M09,September,2019-09-01,2872,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M10,October,2019-10-01,2873,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M11,November,2019-11-01,2883,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2019,M12,December,2019-12-01,2894,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M01,January,2020-01-01,2897,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M02,February,2020-02-01,2903,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M03,March,2020-03-01,2898,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M04,April,2020-04-01,2642,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M05,May,2020-05-01,2606,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M06,June,2020-06-01,2624,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M07,July,2020-07-01,2617,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M08,August,2020-08-01,2640,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M09,September,2020-09-01,2698,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M10,October,2020-10-01,2698,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M11,November,2020-11-01,2706,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2020,M12,December,2020-12-01,2719,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2021,M01,January,2021-01-01,2745,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2021,M02,February,2021-02-01,2758,2022-08-09T14:40:48Z
CES5000000001,employment_totals,Information,2021,M03,March,2021-03-01,2768,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M04,April,2021-04-01,2788,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M05,May,2021-05-01,2803,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M06,June,2021-06-01,2820,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M07,July,2021-07-01,2841,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M08,August,2021-08-01,2866,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M09,September,2021-09-01,2874,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M10,October,2021-10-01,2886,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M11,November,2021-11-01,2904,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2021,M12,December,2021-12-01,2913,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M01,January,2022-01-01,2918,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M02,February,2022-02-01,2918,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M03,March,2022-03-01,2936,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M04,April,2022-04-01,2957,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M05,May,2022-05-01,2983,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M06,June,2022-06-01,3007,2022-08-09T14:40:47Z
CES5000000001,employment_totals,Information,2022,M07,July,2022-07-01,3020,2022-08-09T14:40:47Z
