series_id,series_name,description,year,period,period_name,date,value,created_at
CES8000000001,employment_totals,Other services,2019,M01,January,2019-01-01,5856,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M02,February,2019-02-01,5860,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M03,March,2019-03-01,5883,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M04,April,2019-04-01,5896,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M05,May,2019-05-01,5894,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M06,June,2019-06-01,5893,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M07,July,2019-07-01,5895,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M08,August,2019-08-01,5894,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M09,September,2019-09-01,5894,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M10,October,2019-10-01,5885,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M11,November,2019-11-01,5906,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2019,M12,December,2019-12-01,5921,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M01,January,2020-01-01,5940,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M02,February,2020-02-01,5951,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M03,March,2020-03-01,5860,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M04,April,2020-04-01,4520,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M05,May,2020-05-01,4756,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M06,June,2020-06-01,5089,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M07,July,2020-07-01,5225,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M08,August,2020-08-01,5276,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M09,September,2020-09-01,5323,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M10,October,2020-10-01,5335,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M11,November,2020-11-01,5330,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2020,M12,December,2020-12-01,5319,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M01,January,2021-01-01,5328,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M02,February,2021-02-01,5339,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M03,March,2021-03-01,5356,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M04,April,2021-04-01,5379,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M05,May,2021-05-01,5395,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M06,June,2021-06-01,5437,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M07,July,2021-07-01,5473,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M08,August,2021-08-01,5502,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M09,September,2021-09-01,5519,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M10,October,2021-10-01,5544,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M11,November,2021-11-01,5580,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2021,M12,December,2021-12-01,5604,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M01,January,2022-01-01,5610,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M02,February,2022-02-01,5648,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M03,March,2022-03-01,5663,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M04,April,2022-04-01,5676,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M05,May,2022-05-01,5686,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M06,June,2022-06-01,5685,2022-08-09T14:40:48Z
CES8000000001,employment_totals,Other services,2022,M07,July,2022-07-01,5700,2022-08-09T14:40:48Z
